dataset,method,model,attack_class,rank,feature,mean_abs_importance,n_samples
CIC_IIoT_2025,LIME,XGB,recon,9,network_header_length_max,0.040001,13
CIC_IIoT_2025,LIME,XGB,recon,10,network_tcp_flags_psh_count,0.033102,13
CIC_IIoT_2025,LIME,XGB,web,1,device_name,0.095465,24
CIC_IIoT_2025,LIME,XGB,web,2,network_tcp_flags_fin_count,0.026495,24
CIC_IIoT_2025,LIME,XGB,web,3,network_header_length_avg,0.017048,24
CIC_IIoT_2025,LIME,XGB,web,4,network_macs_all,0.015708,24
CIC_IIoT_2025,LIME,XGB,web,5,network_ttl_min,0.015512,24
CIC_IIoT_2025,LIME,XGB,web,6,network_header_length_min,0.014703,24
CIC_IIoT_2025,LIME,XGB,web,7,log_data_types_count,0.013844,24
CIC_IIoT_2025,LIME,XGB,web,8,network_packets_dst_count,0.012995,24
CIC_IIoT_2025,LIME,XGB,web,9,network_header_length_max,0.012237,24
CIC_IIoT_2025,LIME,XGB,web,10,network_tcp_flags_avg,0.011078,24
IDS2025_Balanced,SHAP,RF,benign,1,destination_port,0.064,991
IDS2025_Balanced,SHAP,RF,benign,2,psh_flag_count,0.037577,991
IDS2025_Balanced,SHAP,RF,benign,3,source_port,0.030777,991
IDS2025_Balanced,SHAP,RF,benign,4,packet_length_mean,0.029295,991
IDS2025_Balanced,SHAP,RF,benign,5,average_packet_size,0.027329,991
IDS2025_Balanced,SHAP,RF,benign,6,avg_bwd_segment_size,0.026736,991
IDS2025_Balanced,SHAP,RF,benign,7,bwd_packetss,0.026151,991
IDS2025_Balanced,SHAP,RF,benign,8,init_win_bytes_forward,0.025769,991
IDS2025_Balanced,SHAP,RF,benign,9,packet_length_std,0.022861,991
IDS2025_Balanced,SHAP,RF,benign,10,fwd_packet_length_mean,0.022741,991
IDS2025_Balanced,SHAP,RF,dos/ddos,1,destination_port,0.082933,9
IDS2025_Balanced,SHAP,RF,dos/ddos,2,bwd_packetss,0.07365,9
IDS2025_Balanced,SHAP,RF,dos/ddos,3,average_packet_size,0.04365,9
IDS2025_Balanced,SHAP,RF,dos/ddos,4,init_win_bytes_forward,0.038863,9
IDS2025_Balanced,SHAP,RF,dos/ddos,5,bwd_packet_length_min,0.035292,9
IDS2025_Balanced,SHAP,RF,dos/ddos,6,packet_length_mean,0.035028,9
IDS2025_Balanced,SHAP,RF,dos/ddos,7,fwd_header_length,0.033619,9
IDS2025_Balanced,SHAP,RF,dos/ddos,8,total_fwd_packets,0.028719,9
IDS2025_Balanced,SHAP,RF,dos/ddos,9,max_packet_length,0.025739,9
IDS2025_Balanced,SHAP,RF,dos/ddos,10,fwd_packet_length_mean,0.024335,9
IDS2025_Balanced,SHAP,XGB,benign,1,min_packet_length,1.219548,991
IDS2025_Balanced,SHAP,XGB,benign,2,source_port,0.886937,991
IDS2025_Balanced,SHAP,XGB,benign,3,bwd_packet_length_min,0.745057,991
IDS2025_Balanced,SHAP,XGB,benign,4,destination_port,0.467506,991
IDS2025_Balanced,SHAP,XGB,benign,5,fwd_packet_length_max,0.301639,991
IDS2025_Balanced,SHAP,XGB,benign,6,fwd_packetss,0.265149,991
IDS2025_Balanced,SHAP,XGB,benign,7,init_win_bytes_forward,0.264216,991
IDS2025_Balanced,SHAP,XGB,benign,8,fwd_iat_min,0.235278,991
IDS2025_Balanced,SHAP,XGB,benign,9,fwd_packet_length_mean,0.234985,991
IDS2025_Balanced,SHAP,XGB,benign,10,init_win_bytes_backward,0.224779,991
IDS2025_Balanced,SHAP,XGB,dos/ddos,1,bwd_packetss,1.626052,9
IDS2025_Balanced,SHAP,XGB,dos/ddos,2,fwd_packetss,1.548505,9
IDS2025_Balanced,SHAP,XGB,dos/ddos,3,destination_port,0.893148,9
IDS2025_Balanced,SHAP,XGB,dos/ddos,4,init_win_bytes_forward,0.890182,9
IDS2025_Balanced,SHAP,XGB,dos/ddos,5,fwd_iat_mean,0.585361,9
IDS2025_Balanced,SHAP,XGB,dos/ddos,6,init_win_bytes_backward,0.162585,9
IDS2025_Balanced,SHAP,XGB,dos/ddos,7,fwd_iat_min,0.144347,9
IDS2025_Balanced,SHAP,XGB,dos/ddos,8,source_port,0.143826,9
IDS2025_Balanced,SHAP,XGB,dos/ddos,9,fwd_iat_total,0.132418,9
IDS2025_Balanced,SHAP,XGB,dos/ddos,10,idle_max,0.132229,9
IDS2025_Balanced,LIME,RF,benign,1,destination_port,0.059512,991
IDS2025_Balanced,LIME,RF,benign,2,psh_flag_count,0.037257,991
IDS2025_Balanced,LIME,RF,benign,3,bwd_packet_length_std,0.019654,991
IDS2025_Balanced,LIME,RF,benign,4,bwd_packet_length_min,0.018783,991
IDS2025_Balanced,LIME,RF,benign,5,source_port,0.014232,991
IDS2025_Balanced,LIME,RF,benign,6,fwd_header_length,0.011838,991
IDS2025_Balanced,LIME,RF,benign,7,min_seg_size_forward,0.011306,991
IDS2025_Balanced,LIME,RF,benign,8,bwd_packet_length_mean,0.010801,991
IDS2025_Balanced,LIME,RF,benign,9,min_packet_length,0.009606,991
IDS2025_Balanced,LIME,RF,benign,10,protocol,0.009109,991
IDS2025_Balanced,LIME,RF,dos/ddos,1,destination_port,0.062938,9
IDS2025_Balanced,LIME,RF,dos/ddos,2,bwd_packetss,0.021729,9
IDS2025_Balanced,LIME,RF,dos/ddos,3,bwd_packet_length_std,0.020929,9
IDS2025_Balanced,LIME,RF,dos/ddos,4,bwd_packet_length_min,0.019722,9
IDS2025_Balanced,LIME,RF,dos/ddos,5,bwd_header_length,0.01375,9
IDS2025_Balanced,LIME,RF,dos/ddos,6,psh_flag_count,0.013436,9
IDS2025_Balanced,LIME,RF,dos/ddos,7,packet_length_mean,0.009772,9
IDS2025_Balanced,LIME,RF,dos/ddos,8,total_backward_packets,0.009586,9
IDS2025_Balanced,LIME,RF,dos/ddos,9,idle_max,0.007789,9
IDS2025_Balanced,LIME,RF,dos/ddos,10,total_length_of_fwd_packets,0.007536,9
IDS2025_Balanced,LIME,XGB,benign,1,psh_flag_count,0.123341,991
IDS2025_Balanced,LIME,XGB,benign,2,destination_port,0.085157,991
IDS2025_Balanced,LIME,XGB,benign,3,bwd_packetss,0.061949,991
IDS2025_Balanced,LIME,XGB,benign,4,total_fwd_packets,0.052174,991
IDS2025_Balanced,LIME,XGB,benign,5,fin_flag_count,0.051173,991
IDS2025_Balanced,LIME,XGB,benign,6,bwd_packet_length_min,0.044019,991
IDS2025_Balanced,LIME,XGB,benign,7,fwd_packetss,0.042472,991
IDS2025_Balanced,LIME,XGB,benign,8,min_packet_length,0.040413,991
IDS2025_Balanced,LIME,XGB,benign,9,total_backward_packets,0.039843,991
IDS2025_Balanced,LIME,XGB,benign,10,source_port,0.039165,991
IDS2025_Balanced,LIME,XGB,dos/ddos,1,fin_flag_count,0.051325,9
IDS2025_Balanced,LIME,XGB,dos/ddos,2,destination_port,0.01826,9
IDS2025_Balanced,LIME,XGB,dos/ddos,3,idle_max,0.008286,9
IDS2025_Balanced,LIME,XGB,dos/ddos,4,fwd_packetss,0.007611,9
IDS2025_Balanced,LIME,XGB,dos/ddos,5,source_port,0.006647,9
IDS2025_Balanced,LIME,XGB,dos/ddos,6,total_backward_packets,0.006451,9
IDS2025_Balanced,LIME,XGB,dos/ddos,7,fwd_packet_length_max,0.004556,9
IDS2025_Balanced,LIME,XGB,dos/ddos,8,fwd_psh_flags,0.00455,9
IDS2025_Balanced,LIME,XGB,dos/ddos,9,total_fwd_packets,0.004239,9
IDS2025_Balanced,LIME,XGB,dos/ddos,10,fwd_iat_min,0.004048,9
